type,web
TG035QVLQAANN-GN00,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TG035QVLQAANN-GN00
TCG035QVLPDANN-GN50,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG035QVLPDANN-GN50
TCG035QVLPAANN-AN00,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG035QVLPAANN-AN00
TCG035QVLPAAFA-AA00,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG035QVLPAAFA-AA00
TCG043WQLBAANN-GN50,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG043WQLBAANN-GN50
TCG043WQLBAANN-GN00,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG043WQLBAANN-GN00
TCG043WQLBAAFA-GA50,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG043WQLBAAFA-GA50
TCG043WQLBAAFA-GA00,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG043WQLBAAFA-GA00
TG057QVLGF-G00,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TG057QVLGF-G00
TCG057VGLGA-G50,http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG057VGLGA-G50
