,143,2,62,150,-55 to +150,800
﻿,140,3,90,150,-55 to +150,800
﻿,138,4,135,150,-55 to +150,800
﻿,131,6,135,150,-55 to +150,800
﻿,126,8,165,150,-55 to +150,800
﻿25,,1.5,60,150,-40 to +150,600
﻿25,,1.5,80,150,-40 to +150,600
﻿,115(Tl),2,120,150,-40 to +150,600
﻿,131,6,100,150,-55 to +150,600
﻿,131,6,100,150,-55 to +150,800
﻿,130,8,130,150,-55 to +150,600
﻿,130,8,130,150,-55 to +150,800
﻿,129,10,150,150,-55 to +150,600
﻿,129,10,150,150,-55 to +150,800
﻿,108,4,80,150,-40 to +150,600
﻿,108,4,120,150,-40 to +150,600
﻿,108,4,120,150,-40 to +150,800
﻿,108,4,150,150,-40 to +150,800
﻿,111,4,150,150,-40 to +150,600
﻿,111,4,150,150,-40 to +150,600
﻿,100,10,120,150,-40 to +150,600
﻿,100,10,120,150,-40 to +150,800
﻿,112,10,170,150,-40 to +150,600
﻿,110,15,200,150,-55 to +150,600
﻿,110,15,200,150,-55 to +150,800
﻿,107,25,350,150,-55 to +150,600
﻿,107,25,350,150,-55 to +150,800
﻿,111,6,120,150,-40 to +150,600
﻿,110,6,170,150,-40 to +150,600
﻿,110,6,170,150,-40 to +150,800
﻿,110,6,170,150,-40 to +150,800
﻿,112,6,170,150,-40 to +150,600
﻿,111,6,170,150,-40 to +150,600
﻿,100,15,200,150,-40 to +150,600
﻿,100,15,200,150,-40 to +150,800
﻿,110,15,200,150,-55 to +150,1000
﻿,107,15,240,150,-40 to +150,600
﻿,100,15,200,150,-55 to +150,600
﻿,106,15,290,150,-55 to +150,600
﻿,124,15,200,150,-55 to +150,600
﻿,87,20,240,150,-40 to +150,600
﻿,87,20,240,150,-40 to +150,800
﻿,98,25,350,150,-40 to +150,600
﻿,98,25,350,150,-40 to +150,800
﻿,106,25,350,150,-55 to +150,1000
﻿,85,25,350,150,-55 to +150,600
﻿,113,25,300,150,-55 to +150,600
﻿,95,50,600,150,-40 to +150,800
﻿25,,0.8,30,150,-40 to +150,600
﻿25,,0.8,30,150,-40 to +150,800
﻿25,,1,30,150,-55 to +150,800
﻿25,,1,30,150,-40 to +150,600
﻿25,,1,30,150,-40 to +150,800
﻿26,,1,50,150,-40 to +150,800
﻿,105(Tl),1.5,60,150,-55 to +150,600
﻿,105(Tl),1.5,60,150,-55 to +150,800
﻿25,,1,30,150,-40 to +150,600
﻿25,,1,30,150,-40 to +150,800
﻿25,,1,50,150,-40 to +150,600
﻿25,,1.1,50,150,-40 to +150,600
﻿25,,0.8,30,150,-40 to +150,600
﻿25,,0.8,30,150,-40 to +150,800
﻿25,,1,30,150,-40 to +150,600
﻿25,,1,30,150,-40 to +150,800
﻿26,,1,50,150,-40 to +150,800
﻿,105(Tl),1.5,60,150,-55 to +150,600
﻿,105(Tl),1.5,60,150,-55 to +150,800
﻿25,,1,30,150,-40 to +150,600
﻿25,,1,30,150,-40 to +150,800
﻿25,,1,50,150,-40 to +150,600
﻿25,,1.1,50,150,-40 to +150,600
﻿40,,2,40,150,-40 to +150,600
﻿40,,2.3,120,150,-40 to +150,600
﻿40,,4,80,150,-40 to +150,600
﻿40,,6,200,150,-40 to +150,600
﻿40,,10,200,150,-40 to +150,600
﻿,74,10,170,150,-40 to +150,600
﻿,83,15,200,150,-40 to +150,600
﻿,77,15,200,150,-40 to +150,600
﻿,76,20,500,150,-40 to +150,600
﻿,76,20,500,150,-40 to +150,800
﻿,85,25,400,150,-40 to +150,600
﻿,85,25,400,150,-40 to +150,800
﻿,95,50,500,150,-40 to +150,600
﻿,95,50,500,150,-40 to +150,800
﻿,137,10,170,150,-40 to +150,600
﻿,137,10,150,150,-40 to +150,800
﻿,132,15,200,150,-40 to +150,600
﻿,132,15,200,150,-40 to +150,800
﻿,128,20,300,150,-40 to +150,600
﻿,128,20,300,150,-40 to +150,800
﻿,121,30,400,150,-40 to +150,600
﻿,121,30,400,150,-40 to +150,800
﻿,137,10,170,150,-40 to +150,600
﻿,137,10,150,150,-40 to +150,800
﻿,132,15,200,150,-40 to +150,600
﻿,132,15,200,150,-40 to +150,800
﻿,128,20,300,150,-40 to +150,600
﻿,128,20,300,150,-40 to +150,800
﻿,121,30,400,150,-40 to +150,600
﻿,121,30,400,150,-40 to +150,800
﻿,116,30,350,150,-40 to +150,1600
﻿,117,30,300,150,-40 to +150,800
﻿,101,45,400,150,-40 to +150,800
﻿,97,45,330,150,-40 to +150,1600
﻿,94,50,600,150,-55 to +150,800
﻿,99,45,450,150,-40 to +150,1200
﻿,116,30,300,150,-40〜150,1200
﻿,116,30,350,150,-40〜150,1600
﻿,97,45,450,150,-55〜150,1600
﻿,109,75,400,150,-55〜150,800
﻿25,112(Tl),2,50,150,-40 to +150,800
﻿25,112(Tl),2,50,150,-40 to +150,800
﻿,99,100,500,150,-55〜150,800
﻿,92,100,450,150,-55〜150,1200
